depart_school,depart_station,depart_school_m,depart_station_m
08:00,08:15,480,495
08:05,08:20,485,500
08:15,08:30,495,510
08:20,08:35,500,515
08:25,08:40,505,520
08:35,08:50,515,530
08:45,09:00,525,540
08:50,09:05,530,545
09:00,09:15,540,555
09:15,09:30,555,570
09:25,09:40,565,580
09:30,09:45,570,585
09:35,09:50,575,590
09:40,09:55,580,595
09:55,10:10,595,610
10:00,10:15,600,615
10:10,10:25,610,625
10:20,10:35,620,635
10:30,10:45,630,645
10:40,10:55,640,655
10:45,11:00,645,660
11:00,11:15,660,675
11:25,11:40,685,700
11:30,11:45,690,705
11:45,12:00,705,720
11:55,12:10,715,730
12:05,12:20,725,740
12:20,12:35,740,755
12:30,12:45,750,765
12:45,13:00,765,780
13:00,13:15,780,795
13:25,13:40,805,820
13:40,13:55,820,835
14:00,14:15,840,855
14:10,14:25,850,865
14:15,14:30,855,870
14:30,14:45,870,885
14:50,15:05,890,905
15:00,15:15,900,915
15:10,15:25,910,925
15:25,15:40,925,940
15:30,15:45,930,945
15:55,16:10,955,970
16:10,16:25,970,985
16:25,16:40,985,1000
16:30,16:45,990,1005
16:50,17:05,1010,1025
17:00,17:15,1020,1035
17:10,17:25,1030,1045
17:20,17:35,1040,1055
17:30,17:45,1050,1065
17:45,18:00,1065,1080
18:00,18:15,1080,1095
19:00,19:15,1140,1155
19:20,19:35,1160,1175
19:30,19:45,1170,1185
